Sale_id;Date;Product_Name;Size;Quantity;Original Price Online;Original Price Offline;Discount Online (%);Applied Price;Order_Channel;Actual_Selling_Price;Revenue;Staff_id;Year;Month
S0020;2021-02-17;Cookies & Cream;S;4;65000;65000;11;57850;Online;57850;231400;NV30;2021;2
S0021;2021-06-11;Classic Phin Freeze;S;3;59000;49000;12;51920;Online;51920;155760;NV43;2021;6
S0022;2023-11-21;Classic Phin Freeze;M;4;75000;65000;8;69000;Online;69000;276000;NV26;2023;11
S0023;2023-01-28;Classic Phin Freeze;S;3;49000;65000;7;65000;Offline;65000;195000;NV44;2023;1
S0024;2022-12-02;Caramel Phin Freeze;L;5;59000;65000;14;65000;Offline;65000;325000;NV30;2022;12
S0025;2022-10-21;Caramel Phin Freeze;S;4;39000;69000;5;37050;Online;37050;148200;NV34;2022;10
S0026;2024-01-01;Americano;M;2;45000;59000;15;38250;Online;38250;76500;NV11;2024;1
S0027;2021-06-04;Cappuccino;S;4;55000;55000;10;49500;Online;49500;198000;NV15;2021;6
S0028;2021-12-18;Latte;M;5;39000;45000;5;45000;Offline;45000;225000;NV41;2021;12
S0029;2022-08-24;Classic Phin Freeze;M;2;35000;49000;6;49000;Offline;49000;98000;NV7;2022;8
S0030;2021-08-01;Cappuccino;M;1;49000;59000;11;43610;Online;43610;43610;NV16;2021;8
S0031;2021-01-14;Cappuccino;S;1;49000;59000;10;44100;Online;44100;44100;NV4;2021;1
S0032;2023-05-04;Iced Black Coffee;M;4;49000;55000;8;55000;Offline;55000;220000;NV20;2023;5
S0033;2021-12-23;Chocolate Freeze;M;3;59000;55000;7;54870;Online;54870;164610;NV29;2021;12
S0034;2021-09-12;Classic Phin Freeze;S;3;69000;49000;15;58650;Online;58650;175950;NV31;2021;9
S0035;2023-12-24;Latte;L;2;59000;75000;11;52510;Online;52510;105020;NV5;2023;12
S0036;2022-02-24;Green Tea Freeze;S;4;59000;59000;14;59000;Offline;59000;236000;NV48;2022;2
S0037;2022-03-09;Latte;S;1;59000;69000;14;50740;Online;50740;50740;NV50;2022;3
S0038;2021-07-15;Iced Black Coffee;M;3;35000;59000;14;59000;Offline;59000;177000;NV19;2021;7
S0039;2023-01-27;Cappuccino;S;4;65000;75000;13;56550;Online;56550;226200;NV7;2023;1
S0040;2023-02-02;Green Tea Freeze;M;3;39000;35000;11;35000;Offline;35000;105000;NV23;2023;2
S0041;2021-10-04;Cappuccino;M;4;55000;59000;6;59000;Offline;59000;236000;NV29;2021;10
S0042;2023-04-19;Iced Black Coffee;L;1;65000;59000;12;59000;Offline;59000;59000;NV35;2023;4
S0043;2021-09-29;Mocha;M;3;65000;55000;12;55000;Offline;55000;165000;NV26;2021;9
S0044;2022-06-29;Americano;M;5;39000;65000;13;65000;Offline;65000;325000;NV38;2022;6
S0045;2021-03-14;Americano;M;4;39000;59000;15;33150;Online;33150;132600;NV50;2021;3
S0046;2021-02-28;Green Tea Freeze;M;5;35000;49000;5;49000;Offline;49000;245000;NV6;2021;2
S0047;2021-08-25;Iced Black Coffee;L;2;59000;49000;13;49000;Offline;49000;98000;NV36;2021;8
S0048;2022-12-15;Chocolate Freeze;L;4;59000;29000;12;51920;Online;51920;207680;NV30;2022;12
S0049;2023-08-29;Cookies & Cream;L;2;59000;65000;5;56050;Online;56050;112100;NV13;2023;8
S0050;2021-02-07;Latte;L;2;75000;39000;6;70500;Online;70500;141000;NV1;2021;2
S0051;2021-07-09;Mocha;L;3;69000;65000;8;63480;Online;63480;190440;NV48;2021;7
S0052;2021-04-27;Iced Black Coffee;L;5;59000;65000;5;56050;Online;56050;280250;NV41;2021;4
S0053;2023-10-10;Caramel Phin Freeze;S;2;65000;49000;6;61100;Online;61100;122200;NV12;2023;10
S0054;2022-01-05;Caramel Phin Freeze;L;3;45000;69000;12;39600;Online;39600;118800;NV29;2022;1
S0055;2022-03-03;Iced Black Coffee;L;2;49000;39000;5;46550;Online;46550;93100;NV23;2022;3
S0056;2023-06-03;Cappuccino;L;2;55000;55000;9;50050;Online;50050;100100;NV11;2023;6
S0057;2023-04-21;Cookies & Cream;S;1;59000;65000;12;51920;Online;51920;51920;NV43;2023;4
S0058;2021-05-04;Chocolate Freeze;M;3;59000;65000;15;50150;Online;50150;150450;NV45;2021;5
S0059;2021-10-23;Iced Black Coffee;M;5;59000;49000;8;54280;Online;54280;271400;NV34;2021;10
S0060;2022-06-28;Green Tea Freeze;L;3;59000;59000;8;54280;Online;54280;162840;NV28;2022;6
S0061;2021-11-06;Caramel Phin Freeze;L;2;35000;49000;9;31850;Online;31850;63700;NV33;2021;11
S0062;2022-08-08;Chocolate Freeze;S;2;55000;69000;8;69000;Offline;69000;138000;NV12;2022;8
S0063;2023-07-31;Latte;M;5;59000;39000;12;51920;Online;51920;259600;NV20;2023;7
S0064;2021-05-19;Cookies & Cream;L;1;49000;49000;13;42630;Online;42630;42630;NV42;2021;5
S0065;2022-09-23;Chocolate Freeze;L;5;65000;49000;5;61750;Online;61750;308750;NV9;2022;9
S0066;2021-06-02;Americano;L;2;29000;49000;6;27260;Online;27260;54520;NV15;2021;6
S0067;2023-03-25;Latte;S;1;45000;39000;9;40950;Online;40950;40950;NV18;2023;3
S0068;2021-11-21;Latte;M;4;39000;59000;6;59000;Offline;59000;236000;NV14;2021;11
S0069;2023-08-30;Latte;M;5;69000;59000;13;59000;Offline;59000;295000;NV15;2023;8
S0070;2023-02-19;Cappuccino;L;4;59000;59000;11;59000;Offline;59000;236000;NV45;2023;2
S0071;2023-11-06;Mocha;L;4;49000;59000;12;43120;Online;43120;172480;NV18;2023;11
S0072;2022-10-27;Latte;M;2;75000;69000;5;69000;Offline;69000;138000;NV7;2022;10
S0073;2021-03-29;Caramel Phin Freeze;S;5;49000;69000;14;42140;Online;42140;210700;NV45;2021;3
S0074;2021-03-31;Green Tea Freeze;S;4;49000;35000;8;35000;Offline;35000;140000;NV21;2021;3
S0075;2021-04-24;Latte;M;1;35000;69000;9;31850;Online;31850;31850;NV43;2021;4
S0076;2022-11-15;Cookies & Cream;M;3;39000;59000;8;59000;Offline;59000;177000;NV35;2022;11
S0077;2021-07-04;Caramel Phin Freeze;S;3;29000;75000;5;75000;Offline;75000;225000;NV6;2021;7
S0078;2022-02-27;Classic Phin Freeze;L;2;65000;59000;12;59000;Offline;59000;118000;NV15;2022;2
S0079;2023-01-27;Chocolate Freeze;S;2;59000;59000;5;56050;Online;56050;112100;NV36;2023;1
S0080;2021-05-05;Mocha;M;1;65000;65000;13;65000;Offline;65000;65000;NV31;2021;5
S0081;2021-08-30;Iced Black Coffee;M;5;65000;49000;10;49000;Offline;49000;245000;NV12;2021;8
S0082;2023-04-16;Latte;M;1;35000;55000;9;31850;Online;31850;31850;NV22;2023;4
S0083;2023-03-05;Caramel Phin Freeze;L;5;65000;49000;11;49000;Offline;49000;245000;NV48;2023;3
S0084;2022-03-22;Mocha;M;3;39000;65000;14;65000;Offline;65000;195000;NV27;2022;3
S0085;2023-02-13;Classic Phin Freeze;L;4;29000;65000;12;65000;Offline;65000;260000;NV35;2023;2
S0086;2022-01-29;Mocha;M;1;59000;59000;5;59000;Offline;59000;59000;NV41;2022;1
S0087;2022-03-25;Americano;M;5;49000;65000;7;45570;Online;45570;227850;NV17;2022;3
S0088;2022-08-18;Caramel Phin Freeze;S;3;49000;35000;9;44590;Online;44590;133770;NV47;2022;8
S0089;2022-10-23;Green Tea Freeze;M;4;45000;39000;14;38700;Online;38700;154800;NV18;2022;10
S0090;2022-03-15;Mocha;S;3;45000;45000;5;42750;Online;42750;128250;NV39;2022;3
S0091;2022-05-03;Latte;L;3;69000;55000;7;64170;Online;64170;192510;NV1;2022;5
S0092;2021-07-08;Classic Phin Freeze;M;3;59000;49000;15;50150;Online;50150;150450;NV50;2021;7
S0093;2023-10-10;Americano;S;1;65000;39000;6;61100;Online;61100;61100;NV18;2023;10
S0094;2022-01-10;Mocha;L;3;29000;29000;5;27550;Online;27550;82650;NV11;2022;1
S0095;2022-07-07;Classic Phin Freeze;M;3;29000;65000;8;65000;Offline;65000;195000;NV46;2022;7
S0096;2021-05-25;Chocolate Freeze;M;3;69000;45000;12;60720;Online;60720;182160;NV33;2021;5
S0097;2023-08-19;Chocolate Freeze;S;4;49000;49000;15;41650;Online;41650;166600;NV1;2023;8
S0098;2022-03-31;Cookies & Cream;L;5;59000;69000;8;54280;Online;54280;271400;NV10;2022;3
S0099;2023-12-30;Iced Black Coffee;M;3;59000;55000;10;55000;Offline;55000;165000;NV31;2023;12
S0100;2022-02-17;Mocha;L;1;59000;65000;11;65000;Offline;65000;65000;NV42;2022;2
S0101;2021-03-25;Classic Phin Freeze;M;3;75000;59000;11;66750;Online;66750;200250;NV4;2021;3
S0102;2022-11-19;Cappuccino;M;4;65000;49000;8;59800;Online;59800;239200;NV13;2022;11
S0103;2021-08-24;Chocolate Freeze;S;1;59000;45000;9;45000;Offline;45000;45000;NV16;2021;8
S0104;2022-04-21;Mocha;M;2;65000;49000;12;49000;Offline;49000;98000;NV43;2022;4
S0105;2021-08-30;Chocolate Freeze;S;4;65000;39000;11;39000;Offline;39000;156000;NV19;2021;8
S0106;2021-11-06;Chocolate Freeze;M;3;45000;69000;7;69000;Offline;69000;207000;NV22;2021;11
S0107;2022-11-17;Cappuccino;L;2;69000;49000;10;49000;Offline;49000;98000;NV13;2022;11
S0108;2021-02-16;Classic Phin Freeze;S;2;45000;39000;11;39000;Offline;39000;78000;NV25;2021;2
S0109;2022-01-06;Classic Phin Freeze;M;1;45000;75000;5;75000;Offline;75000;75000;NV37;2022;1
S0110;2021-11-08;Cappuccino;S;4;69000;65000;12;65000;Offline;65000;260000;NV48;2021;11
S0111;2023-03-27;Cappuccino;S;3;59000;35000;9;53690;Online;53690;161070;NV38;2023;3
S0112;2021-01-11;Cappuccino;M;4;35000;59000;11;59000;Offline;59000;236000;NV18;2021;1
S0113;2022-04-05;Cappuccino;L;4;69000;39000;8;39000;Offline;39000;156000;NV31;2022;4
S0114;2023-05-28;Chocolate Freeze;M;3;49000;39000;7;45570;Online;45570;136710;NV20;2023;5
S0115;2022-08-03;Mocha;S;1;55000;35000;9;50050;Online;50050;50050;NV36;2022;8
S0116;2023-07-25;Mocha;M;5;49000;65000;6;46060;Online;46060;230300;NV29;2023;7
S0117;2023-03-03;Cappuccino;M;1;59000;65000;15;65000;Offline;65000;65000;NV42;2023;3
S0118;2023-02-05;Iced Black Coffee;L;4;69000;59000;13;59000;Offline;59000;236000;NV24;2023;2
S0119;2021-01-06;Latte;L;4;39000;49000;10;49000;Offline;49000;196000;NV18;2021;1
S0120;2023-08-26;Cappuccino;M;5;35000;59000;7;32550;Online;32550;162750;NV37;2023;8
S0121;2021-07-21;Caramel Phin Freeze;L;2;69000;49000;10;49000;Offline;49000;98000;NV1;2021;7
S0122;2021-09-28;Green Tea Freeze;S;1;59000;49000;9;53690;Online;53690;53690;NV37;2021;9
S0123;2023-09-10;Americano;L;1;69000;65000;9;62790;Online;62790;62790;NV41;2023;9
S0124;2022-03-26;Chocolate Freeze;M;2;49000;55000;9;55000;Offline;55000;110000;NV40;2022;3
S0125;2023-11-11;Green Tea Freeze;S;3;49000;39000;14;39000;Offline;39000;117000;NV50;2023;11
S0126;2021-12-02;Cappuccino;S;1;45000;39000;6;42300;Online;42300;42300;NV15;2021;12
S0127;2021-09-27;Mocha;S;5;39000;69000;13;33930;Online;33930;169650;NV3;2021;9
S0128;2022-09-17;Chocolate Freeze;L;4;59000;59000;8;54280;Online;54280;217120;NV16;2022;9
S0129;2022-12-13;Iced Black Coffee;M;1;35000;59000;6;59000;Offline;59000;59000;NV1;2022;12
S0130;2022-01-12;Latte;S;3;49000;49000;9;44590;Online;44590;133770;NV12;2022;1
S0131;2022-02-18;Iced Black Coffee;S;3;69000;65000;12;60720;Online;60720;182160;NV29;2022;2
S0132;2021-07-08;Cookies & Cream;M;5;65000;49000;8;49000;Offline;49000;245000;NV31;2021;7
S0133;2022-01-22;Iced Black Coffee;M;4;59000;69000;8;69000;Offline;69000;276000;NV5;2022;1
S0134;2023-05-05;Chocolate Freeze;S;1;39000;59000;9;59000;Offline;59000;59000;NV9;2023;5
S0135;2021-04-24;Caramel Phin Freeze;S;5;35000;29000;5;33250;Online;33250;166250;NV26;2021;4
S0136;2021-06-11;Iced Black Coffee;M;5;65000;39000;7;39000;Offline;39000;195000;NV9;2021;6
S0137;2021-06-01;Chocolate Freeze;S;2;65000;69000;6;69000;Offline;69000;138000;NV30;2021;6
S0138;2023-07-19;Caramel Phin Freeze;M;5;59000;65000;6;65000;Offline;65000;325000;NV44;2023;7
S0139;2023-01-14;Latte;S;4;35000;29000;10;29000;Offline;29000;116000;NV35;2023;1
S0140;2022-07-17;Cappuccino;M;3;29000;65000;14;24940;Online;24940;74820;NV37;2022;7
S0141;2023-02-16;Latte;L;1;59000;49000;14;49000;Offline;49000;49000;NV17;2023;2
S0142;2021-05-01;Cappuccino;L;3;59000;65000;6;55460;Online;55460;166380;NV13;2021;5
S0143;2023-05-05;Chocolate Freeze;S;4;49000;39000;8;39000;Offline;39000;156000;NV25;2023;5
S0144;2021-05-30;Green Tea Freeze;L;3;49000;65000;10;44100;Online;44100;132300;NV39;2021;5
S0145;2023-01-31;Cookies & Cream;L;4;49000;59000;11;43610;Online;43610;174440;NV38;2023;1
S0146;2021-03-05;Green Tea Freeze;L;4;29000;49000;10;26100;Online;26100;104400;NV14;2021;3
S0147;2022-03-01;Chocolate Freeze;L;1;69000;69000;12;60720;Online;60720;60720;NV30;2022;3
S0148;2022-10-16;Americano;S;4;49000;55000;15;55000;Offline;55000;220000;NV49;2022;10
S0149;2022-05-11;Chocolate Freeze;M;3;35000;65000;5;33250;Online;33250;99750;NV2;2022;5
S0150;2021-04-14;Iced Black Coffee;M;4;59000;65000;11;65000;Offline;65000;260000;NV46;2021;4
S0151;2023-10-04;Latte;S;1;59000;35000;14;50740;Online;50740;50740;NV50;2023;10
S0152;2022-03-25;Latte;L;1;65000;59000;10;59000;Offline;59000;59000;NV31;2022;3
S0153;2021-05-27;Green Tea Freeze;L;2;59000;69000;11;69000;Offline;69000;138000;NV20;2021;5
S0154;2023-02-22;Cappuccino;L;4;39000;49000;5;37050;Online;37050;148200;NV29;2023;2
S0155;2021-01-20;Mocha;S;1;59000;55000;14;50740;Online;50740;50740;NV17;2021;1
S0156;2022-08-29;Caramel Phin Freeze;S;1;69000;59000;9;59000;Offline;59000;59000;NV41;2022;8
S0157;2022-11-07;Iced Black Coffee;M;4;75000;49000;12;49000;Offline;49000;196000;NV3;2022;11
S0158;2022-02-26;Americano;L;5;39000;59000;8;59000;Offline;59000;295000;NV42;2022;2
S0159;2023-06-13;Caramel Phin Freeze;S;4;49000;69000;10;44100;Online;44100;176400;NV33;2023;6
S0160;2021-06-08;Cappuccino;L;2;59000;69000;7;54870;Online;54870;109740;NV34;2021;6
S0161;2023-03-01;Cappuccino;S;4;65000;59000;10;58500;Online;58500;234000;NV26;2023;3
S0162;2022-10-19;Americano;L;1;55000;49000;5;52250;Online;52250;52250;NV37;2022;10
S0163;2022-11-29;Chocolate Freeze;L;4;35000;49000;13;49000;Offline;49000;196000;NV32;2022;11
S0164;2023-09-27;Cookies & Cream;M;3;69000;69000;13;60030;Online;60030;180090;NV24;2023;9
S0165;2021-06-29;Chocolate Freeze;L;5;59000;49000;13;51330;Online;51330;256650;NV38;2021;6
S0166;2022-04-11;Green Tea Freeze;M;4;65000;69000;12;69000;Offline;69000;276000;NV36;2022;4
S0167;2021-10-11;Latte;S;5;65000;59000;10;59000;Offline;59000;295000;NV6;2021;10
S0168;2021-07-16;Latte;S;4;59000;65000;6;65000;Offline;65000;260000;NV47;2021;7
S0169;2021-11-09;Cappuccino;L;5;65000;49000;15;55250;Online;55250;276250;NV13;2021;11
S0170;2022-09-18;Caramel Phin Freeze;M;4;65000;49000;6;61100;Online;61100;244400;NV41;2022;9
S0171;2022-06-04;Green Tea Freeze;M;3;49000;45000;9;44590;Online;44590;133770;NV28;2022;6
S0172;2023-10-09;Chocolate Freeze;M;3;75000;65000;10;67500;Online;67500;202500;NV49;2023;10
S0173;2022-01-30;Chocolate Freeze;L;4;69000;69000;9;62790;Online;62790;251160;NV32;2022;1
S0174;2022-11-12;Latte;S;1;59000;49000;10;49000;Offline;49000;49000;NV16;2022;11
S0175;2021-06-03;Caramel Phin Freeze;S;2;69000;59000;6;64860;Online;64860;129720;NV16;2021;6
S0176;2023-12-21;Latte;M;4;65000;59000;9;59000;Offline;59000;236000;NV25;2023;12
S0177;2022-05-09;Latte;S;1;65000;29000;14;55900;Online;55900;55900;NV27;2022;5
S0178;2023-10-27;Classic Phin Freeze;S;1;49000;49000;12;49000;Offline;49000;49000;NV36;2023;10
S0179;2023-11-22;Mocha;M;3;39000;69000;6;36660;Online;36660;109980;NV36;2023;11
S0180;2023-07-18;Latte;L;5;65000;39000;10;58500;Online;58500;292500;NV33;2023;7
S0181;2021-04-21;Cookies & Cream;L;1;69000;55000;10;55000;Offline;55000;55000;NV42;2021;4
S0182;2023-10-22;Classic Phin Freeze;M;1;65000;45000;10;45000;Offline;45000;45000;NV30;2023;10
S0183;2022-03-22;Latte;S;5;49000;65000;12;65000;Offline;65000;325000;NV1;2022;3
S0184;2023-11-01;Chocolate Freeze;M;2;39000;29000;5;37050;Online;37050;74100;NV4;2023;11
S0185;2023-01-21;Cappuccino;S;1;39000;65000;8;35880;Online;35880;35880;NV5;2023;1
S0186;2021-03-02;Iced Black Coffee;S;2;65000;59000;15;59000;Offline;59000;118000;NV11;2021;3
S0187;2022-07-14;Iced Black Coffee;M;5;39000;69000;14;69000;Offline;69000;345000;NV43;2022;7
S0188;2021-02-28;Cappuccino;M;4;59000;65000;15;65000;Offline;65000;260000;NV16;2021;2
S0189;2021-01-10;Latte;S;4;69000;59000;9;62790;Online;62790;251160;NV11;2021;1
S0190;2022-05-17;Chocolate Freeze;S;5;59000;65000;5;56050;Online;56050;280250;NV30;2022;5
S0191;2021-06-05;Mocha;M;5;65000;49000;5;49000;Offline;49000;245000;NV35;2021;6
S0192;2021-05-24;Cookies & Cream;L;2;59000;65000;6;55460;Online;55460;110920;NV2;2021;5
S0193;2023-07-29;Cookies & Cream;L;4;35000;55000;15;29750;Online;29750;119000;NV45;2023;7
S0194;2021-10-25;Caramel Phin Freeze;L;3;65000;69000;6;69000;Offline;69000;207000;NV50;2021;10
S0195;2023-05-28;Cookies & Cream;S;3;59000;69000;15;50150;Online;50150;150450;NV50;2023;5
S0196;2022-10-01;Americano;M;1;65000;65000;14;65000;Offline;65000;65000;NV23;2022;10
S0197;2022-02-13;Green Tea Freeze;M;1;65000;39000;6;61100;Online;61100;61100;NV35;2022;2
S0198;2022-11-14;Iced Black Coffee;M;1;65000;65000;13;65000;Offline;65000;65000;NV50;2022;11
S0199;2022-12-22;Cookies & Cream;M;2;55000;65000;10;49500;Online;49500;99000;NV29;2022;12
S0200;2023-09-13;Cookies & Cream;M;1;35000;49000;11;49000;Offline;49000;49000;NV8;2023;9
S0201;2022-12-13;Mocha;M;3;49000;49000;14;49000;Offline;49000;147000;NV3;2022;12
S0202;2023-02-26;Iced Black Coffee;S;4;55000;49000;14;49000;Offline;49000;196000;NV13;2023;2
S0203;2021-08-28;Cappuccino;S;5;69000;59000;7;59000;Offline;59000;295000;NV35;2021;8
S0204;2022-02-07;Green Tea Freeze;M;2;39000;65000;5;65000;Offline;65000;130000;NV27;2022;2
S0205;2022-01-20;Americano;L;4;65000;65000;14;65000;Offline;65000;260000;NV48;2022;1
S0206;2022-10-27;Americano;S;3;69000;35000;10;35000;Offline;35000;105000;NV43;2022;10
S0207;2023-01-14;Iced Black Coffee;M;2;65000;69000;10;69000;Offline;69000;138000;NV32;2023;1
S0208;2022-10-01;Latte;L;1;35000;39000;8;32200;Online;32200;32200;NV49;2022;10
S0209;2021-04-02;Cookies & Cream;L;2;49000;65000;6;46060;Online;46060;92120;NV42;2021;4
S0210;2023-07-06;Caramel Phin Freeze;M;2;49000;55000;8;45080;Online;45080;90160;NV38;2023;7
S0211;2022-06-24;Iced Black Coffee;S;3;65000;65000;10;58500;Online;58500;175500;NV16;2022;6
S0212;2022-09-20;Green Tea Freeze;L;5;65000;65000;15;65000;Offline;65000;325000;NV10;2022;9
S0213;2023-08-13;Americano;L;3;55000;59000;6;51700;Online;51700;155100;NV11;2023;8
S0214;2023-12-29;Latte;M;1;49000;55000;14;55000;Offline;55000;55000;NV6;2023;12
S0215;2023-10-04;Cappuccino;L;2;35000;35000;14;30100;Online;30100;60200;NV33;2023;10
S0216;2022-06-18;Cappuccino;L;3;65000;59000;9;59150;Online;59150;177450;NV31;2022;6
S0217;2021-05-07;Mocha;M;4;65000;59000;10;59000;Offline;59000;236000;NV14;2021;5
S0218;2023-08-28;Americano;M;4;59000;65000;10;53100;Online;53100;212400;NV43;2023;8
S0219;2023-05-30;Cookies & Cream;L;2;49000;65000;15;41650;Online;41650;83300;NV35;2023;5
S0220;2023-06-09;Green Tea Freeze;M;4;35000;69000;8;32200;Online;32200;128800;NV30;2023;6
S0221;2021-08-06;Classic Phin Freeze;S;5;59000;65000;7;54870;Online;54870;274350;NV50;2021;8
S0222;2022-01-18;Latte;L;2;69000;29000;13;29000;Offline;29000;58000;NV4;2022;1
S0223;2022-07-29;Caramel Phin Freeze;S;5;59000;35000;10;53100;Online;53100;265500;NV12;2022;7
S0224;2023-07-02;Cookies & Cream;L;4;75000;35000;15;35000;Offline;35000;140000;NV41;2023;7
S0225;2022-12-09;Cappuccino;M;3;69000;59000;12;59000;Offline;59000;177000;NV25;2022;12
S0226;2023-11-04;Latte;S;5;59000;29000;5;56050;Online;56050;280250;NV41;2023;11
S0227;2023-01-11;Mocha;L;4;65000;65000;9;59150;Online;59150;236600;NV23;2023;1
S0228;2023-09-11;Latte;S;1;65000;59000;11;57850;Online;57850;57850;NV1;2023;9
S0229;2021-12-02;Chocolate Freeze;M;5;69000;69000;10;69000;Offline;69000;345000;NV10;2021;12
S0230;2023-05-18;Mocha;M;3;49000;49000;6;49000;Offline;49000;147000;NV35;2023;5
S0231;2021-12-31;Cappuccino;S;1;69000;55000;14;55000;Offline;55000;55000;NV10;2021;12
S0232;2023-07-10;Chocolate Freeze;L;5;69000;35000;10;35000;Offline;35000;175000;NV13;2023;7
S0233;2022-06-15;Cappuccino;L;4;59000;35000;10;53100;Online;53100;212400;NV3;2022;6
S0234;2022-02-20;Mocha;L;5;59000;69000;8;54280;Online;54280;271400;NV12;2022;2
S0235;2023-01-16;Latte;L;4;59000;29000;6;55460;Online;55460;221840;NV38;2023;1
S0236;2022-07-31;Green Tea Freeze;L;2;65000;69000;13;56550;Online;56550;113100;NV11;2022;7
S0237;2023-10-24;Latte;L;3;65000;59000;15;55250;Online;55250;165750;NV4;2023;10
S0238;2023-02-03;Cookies & Cream;M;4;39000;49000;9;35490;Online;35490;141960;NV44;2023;2
S0239;2021-09-25;Chocolate Freeze;M;4;55000;35000;15;35000;Offline;35000;140000;NV18;2021;9
S0240;2021-05-19;Green Tea Freeze;L;2;49000;55000;13;55000;Offline;55000;110000;NV21;2021;5
S0241;2023-05-25;Cookies & Cream;M;5;39000;69000;7;69000;Offline;69000;345000;NV45;2023;5
S0242;2023-05-12;Caramel Phin Freeze;M;5;65000;59000;8;59000;Offline;59000;295000;NV22;2023;5
S0243;2022-06-03;Green Tea Freeze;L;3;59000;65000;13;51330;Online;51330;153990;NV40;2022;6
S0244;2022-04-09;Cappuccino;S;5;75000;59000;14;59000;Offline;59000;295000;NV37;2022;4
S0245;2023-01-25;Latte;L;4;39000;69000;13;33930;Online;33930;135720;NV20;2023;1
S0246;2021-06-18;Mocha;L;4;69000;59000;11;59000;Offline;59000;236000;NV9;2021;6
S0247;2021-03-04;Chocolate Freeze;L;2;65000;65000;10;58500;Online;58500;117000;NV1;2021;3
S0248;2023-07-08;Cookies & Cream;S;5;35000;69000;8;69000;Offline;69000;345000;NV47;2023;7
S0249;2021-06-03;Cappuccino;S;2;65000;59000;7;59000;Offline;59000;118000;NV33;2021;6
S0250;2022-10-15;Cookies & Cream;M;1;49000;69000;5;46550;Online;46550;46550;NV17;2022;10
S0251;2022-02-24;Americano;S;2;65000;65000;9;65000;Offline;65000;130000;NV27;2022;2
S0252;2022-05-23;Chocolate Freeze;M;4;39000;35000;10;35000;Offline;35000;140000;NV43;2022;5
S0253;2022-01-20;Mocha;S;3;35000;55000;6;32900;Online;32900;98700;NV3;2022;1
S0254;2021-01-22;Americano;M;5;55000;65000;10;49500;Online;49500;247500;NV17;2021;1
S0255;2021-09-06;Chocolate Freeze;S;4;45000;35000;13;35000;Offline;35000;140000;NV48;2021;9
S0256;2022-08-19;Latte;M;3;65000;49000;12;49000;Offline;49000;147000;NV5;2022;8
S0257;2022-12-28;Americano;M;4;39000;65000;11;65000;Offline;65000;260000;NV12;2022;12
S0258;2022-10-29;Latte;S;2;55000;59000;15;59000;Offline;59000;118000;NV33;2022;10
S0259;2024-01-01;Cappuccino;S;5;59000;75000;7;75000;Offline;75000;375000;NV16;2024;1
S0260;2023-12-30;Cookies & Cream;L;4;65000;49000;9;49000;Offline;49000;196000;NV16;2023;12
S0261;2022-03-22;Cappuccino;L;4;65000;69000;14;69000;Offline;69000;276000;NV1;2022;3
S0262;2021-10-07;Cookies & Cream;S;1;75000;35000;7;69750;Online;69750;69750;NV47;2021;10
S0263;2022-02-25;Cappuccino;S;3;65000;65000;9;65000;Offline;65000;195000;NV50;2022;2
S0264;2021-03-02;Caramel Phin Freeze;M;5;65000;35000;7;35000;Offline;35000;175000;NV13;2021;3
